County, School District, Total Students, Free Eligible, RP Eligible, Paid Eligible, Total Free Breakfasts, Total RP Breakfasts, Total Paid Breakfasts, Total Free Lunches, Total RP Lunches, Total Paid Lunches, FRPM Eligible Percentage, FRPM Breakfast %, FRPM Lunch %, Total Reimbursement, Lost FRPM Dollars, Lost Meals, FRPM Breakfast/Lunch
San Mateo,San Mateo-Foster City,11970,3140,407,8423,168269,23543,47021,326812,45074,227928,29,30,58,1718050.7058,445245.7954,360981,51
San Mateo,Menlo Park City Elementary,2999,171,40,2788,0,0,0,21536,7397,80116,7,0,76,117850.8143,85161.8943,109049,0
San Mateo,Bayshore Elementary,368,186,51,131,6967,1742,2205,20663,5022,6486,64,20,60,104627.1474,37894.9796,21257,33
Santa Clara,Oak Grove Elementary,10362,3335,854,6173,215883,38778,66180,443983,101296,312376,40,33,72,2437230.834,696970.6078,536814,46
Santa Clara,Sunnyvale,6536,1555,450,4531,131451,28800,41294,234557,60483,138276,30,44,81,1355977.2961,317460.5719,231771,54
Santa Clara,Santa Clara Unified,15409,4220,1289,9900,250036,70816,81805,572287,171268,562921,35,32,74,3286284.2197,1046562.8613,903819,43
Santa Clara,Milpitas Unified,10260,2567,736,6957,151006,35402,110077,308179,88638,399801,32,31,66,1839351.6875,534546.9539,500133,46
Santa Clara,Evergreen Elementary,11794,2734,662,8398,109165,18159,22073,349962,82674,386970,28,20,70,1805231.486,763372.8652,670209,29
Santa Clara,Campbell Union High,7810,1242,232,6336,40478,5148,8482,88144,15146,25572,18,17,38,446564.9636,129803.5544,74754,44
Santa Clara,Los Gatos Union Elementary,3263,66,8,3189,1561,529,22346,4714,1514,70156,2,15,46,52757.0378,22743.7598,51948,33
San Mateo,Brisbane Elementary,464,96,15,353,1503,12,314,11436,1942,13001,23,7,66,51076.0403,29401.6873,24550,11
San Mateo,Belmont-Redwood Shores Elementary,4230,202,66,3962,0,0,0,27643,8794,102558,6,0,75,149140.5527,107888.0927,138995,0
San Mateo,Sequoia Union High,9911,2694,546,6671,155177,19576,18708,230934,33984,98959,32,29,45,1282840.5841,218855.2115,170416,65
Santa Clara,Palo Alto Unified,12287,898,278,11111,29192,7637,29466,79009,27350,290478,9,17,50,519819.2348,223934.543,330542,34
Santa Clara,Mountain View-Los Altos Union High,4101,530,109,3462,32914,4837,5219,43420,8255,38189,15,32,44,263707.8846,39406.8004,46894,73
Santa Clara,Morgan Hill Unified,9137,2883,454,5800,200846,24170,58589,273007,36861,110823,36,37,51,1556096.6564,199465.9292,137086,72
Santa Clara,Union Elementary,5751,470,84,5197,18177,5087,9633,46334,12857,111391,9,23,59,278576.9605,106832.5717,137685,39
Santa Clara,Cupertino Union,18598,622,168,17808,28412,4986,84555,70955,17612,748727,4,23,62,615918.0215,311137.2699,719341,37
San Mateo,San Mateo County Office of Education,293,134,8,151,6209,1246,19169,9177,2194,19335,48,29,44,64548.6846,8445.9036,4082,65
San Mateo,Portola Valley Elementary,627,32,21,574,0,0,0,4890,3253,20241,8,0,85,31984.6553,22947.8353,28384,0
San Mateo,La Honda-Pescadero Unified,318,130,38,150,10538,1087,1172,16069,3850,8743,52,38,65,93031.2124,19755.3174,15865,58
Santa Clara,Cambrian,3514,410,128,2976,20314,4779,21501,42889,13795,97885,15,25,58,273288.1267,89486.9661,107975,44
San Mateo,San Carlos Elementary,3516,143,26,3347,0,0,0,14445,3325,43699,4,0,58,71161.557,51073.077,61469,0
